,+/- 2,+/- 3,+/- 5,+/- 10,+/- 15,+/- 20
LSTM,73.29654039835195,83.21827971834875,91.27288053074838,96.38925423457859,97.72157509610004,98.51362840346759
GRU,20.95925648720725,29.732518511521107,43.15455212655413,63.47253609655784,75.36459885043271,83.49513504872218
custom,7.668020666051432,11.562888305950574,19.451085258361974,38.89890057187702,56.691033811229715,70.78631273752517
